transaction_id,sender_account,receiver_account,beneficiary_id,device_id,transaction_type,transaction_direction,transaction_channel,amount,balance_before,balance_after,transaction_status,remarks,merchant_category,latitude,longitude,location_radius_km,transaction_hour,is_new_beneficiary,is_night_transaction,transaction_velocity,otp_attempts,failed_auth_attempts,risk_score,risk_level,ml_prediction,transaction_time
1,514892975921,968872807098,2811,855,Bill Payment,Credit,Mobile App,108832.32,440836.11,549668.4300000000,Failed,Virk Inc,Gaming,22.5726,88.3639,919.9,21,1,0,3.46,1,1,0.85,High,High,2026-04-02 21:59:44
2,492868309800,638136357872,2564,1131,NEFT,Credit,Net Banking,137238.61,411969.74,549208.35,Success,"Wadhwa, Thaker and Nazareth",Food,22.5726,88.3639,784.43,8,0,0,26.5,2,2,0.09,Low,Low,2025-05-28 08:49:32
3,162923588959,593645192925,1313,1399,ATM,Debit,Net Banking,69411.73,389490.5,320078.77,Failed,"Varkey, Hari and Subramanian",Gaming,19.076,72.8777,172.93,6,1,0,2.25,3,1,0.69,Medium,Medium,2025-07-14 06:08:07
4,541615334219,344758025287,531,939,ATM,Debit,Net Banking,15038.18,336680.75,321642.57,Success,Som-Sidhu,Shopping,19.076,72.8777,815.83,5,1,0,31.26,1,1,0.0,Low,Low,2025-08-22 05:00:16
5,331792801075,228201236817,3010,1496,UPI,Credit,ATM,55083.39,382091.94,437175.33,Success,Sibal LLC,Investment,13.0827,80.2707,891.51,1,1,1,23.98,1,2,0.33,Low,Low,2026-01-10 01:39:40
6,953124992627,149400542722,3448,916,IMPS,Debit,Net Banking,101622.69,425213.89,323591.2,Failed,Hayre LLC,Gaming,18.5204,73.8567,672.78,5,1,0,43.72,0,2,0.55,Medium,Medium,2026-04-09 05:47:59
7,358836855328,370011975686,507,670,IMPS,Credit,USSD,39846.84,383842.12,423688.96000000000,Failed,Borah-Sethi,Investment,12.9716,77.5946,619.05,10,0,0,3.58,1,1,0.68,Medium,Medium,2025-12-14 10:27:45
8,688271662709,101687285749,3483,1922,UPI,Debit,Net Banking,73436.4,475418.55,401982.15,Success,"Handa, Bansal and Gara",Travel,13.0827,80.2707,568.13,13,1,0,41.54,2,2,0.39,Low,Low,2026-02-17 13:46:23
9,165615062203,627079066232,1124,1670,UPI,Debit,Mobile App,61699.9,33441.92,-28257.980000000000,Failed,Tara-Srivastava,Utilities,19.076,72.8777,201.73,14,1,0,41.24,3,1,0.63,Medium,Medium,2025-12-29 14:19:03
10,161002281380,896707892023,1879,1111,Bill Payment,Debit,ATM,61076.75,158469.44,97392.69,Success,Kalita-Bala,Utilities,13.0827,80.2707,167.57,8,0,0,7.13,3,2,0.59,Medium,Medium,2025-11-30 08:29:53
11,842665334495,548966505553,1973,64,UPI,Credit,Hardware Token,12262.4,423251.68,435514.08,Failed,Garg Inc,Food,18.5204,73.8567,618.47,12,0,0,2.9,1,0,0.35,Low,Low,2026-03-12 12:31:52
12,416258976541,193926631749,437,1321,IMPS,Credit,Hardware Token,148738.2,91459.0,240197.2,Failed,"Jaggi, Gupta and Parmer",Shopping,19.076,72.8777,379.33,10,0,0,3.08,3,1,0.88,High,High,2026-04-17 10:48:54
13,600407833350,264887270873,1150,1733,NEFT,Debit,Net Banking,128076.92,17465.47,-110611.45,Success,Walia PLC,Travel,18.5204,73.8567,316.86,5,0,0,29.0,0,0,0.69,Medium,Medium,2026-01-27 05:54:50
14,233964900508,239375209479,151,964,IMPS,Debit,Mobile App,91031.56,257654.97,166623.41,Success,Prasad PLC,Investment,19.076,72.8777,756.61,13,1,0,33.14,1,2,0.54,Medium,Medium,2025-10-26 13:55:45
15,680759257782,623001490690,1989,889,ATM,Credit,Net Banking,3881.14,97349.97,101231.11,Failed,Chaudhari Inc,Food,28.7041,77.1025,696.72,2,1,1,30.69,1,0,0.42,Medium,Medium,2026-05-09 02:34:33
16,660828136549,360184786869,893,1285,ATM,Credit,Mobile App,56038.72,401542.33,457581.05000000000,Success,"Dhawan, Sami and Narayan",Healthcare,22.5726,88.3639,627.87,22,1,0,19.04,3,1,0.76,High,High,2025-09-30 22:39:34
17,425442336487,714859697353,3542,1410,RTGS,Debit,USSD,46082.72,29083.84,-16998.88,Failed,Tank Ltd,Utilities,22.5726,88.3639,737.38,10,1,0,32.19,2,1,0.36,Low,Low,2025-06-25 10:50:10
18,628354451399,646361339667,81,1040,RTGS,Debit,USSD,25428.53,461926.79,436498.26,Success,"Venkataraman, Sangha and Ravi",Shopping,18.5204,73.8567,86.42,23,1,0,3.16,3,0,0.79,High,High,2025-08-10 23:27:37
19,499091972399,160764683694,1192,367,POS Purchase,Credit,ATM,93644.71,376155.33,469800.04000000000,Success,"Kade, Walia and Garde",Travel,19.076,72.8777,431.6,4,0,0,24.43,1,1,0.12,Low,Low,2025-07-22 04:28:35
20,164675373604,894214746535,2231,1841,IMPS,Credit,Mobile App,21020.52,82993.41,104013.93000000000,Failed,Nagarajan Group,Food,17.385,78.4867,669.93,17,1,0,32.83,1,0,0.67,Medium,Medium,2026-01-15 17:53:55
21,340751394402,556540442630,1206,1315,RTGS,Debit,USSD,79571.88,402813.15,323241.27,Success,"Bhalla, Dube and Dutta",Healthcare,13.0827,80.2707,854.29,3,1,1,42.34,1,0,0.92,High,High,2025-07-27 03:49:47
22,676807379369,359159225975,1811,336,RTGS,Credit,Mobile App,1672.17,407226.1,408898.27000000000,Failed,Suresh Inc,Shopping,18.5204,73.8567,574.46,10,0,0,39.35,0,1,0.0,Low,Low,2025-12-24 10:48:42
23,792772716390,501925406495,200,1938,UPI,Credit,ATM,70515.92,297312.26,367828.18,Success,"Balay, Bali and Narasimhan",Shopping,22.5726,88.3639,473.08,10,1,0,13.42,1,1,0.12,Low,Low,2026-03-07 10:51:40
24,658427466500,743404264605,690,464,POS Purchase,Credit,Hardware Token,27909.67,325914.6,353824.27000000000,Failed,"Madan, Choudhary and Dyal",Investment,17.385,78.4867,338.39,18,0,0,49.65,1,1,0.96,High,High,2025-08-13 18:12:56
25,619002691744,385276283546,2664,1927,Bill Payment,Credit,Mobile App,80235.6,474612.41,554848.01,Failed,"Dugar, Mall and Andra",Healthcare,18.5204,73.8567,945.61,17,1,0,14.29,2,0,0.31,Low,Low,2025-09-19 17:29:51
26,797222770908,627079066232,2233,1418,NEFT,Debit,ATM,137546.25,56467.7,-81078.55,Success,"Bala, Wali and Bali",Food,17.385,78.4867,603.67,6,1,0,46.49,2,1,0.25,Low,Low,2025-12-09 06:14:46
27,280091898035,476145754752,53,661,NEFT,Debit,ATM,46687.45,328685.07,281997.62,Success,"Sankar, Rastogi and Halder",Travel,19.076,72.8777,21.85,23,0,0,47.71,2,1,0.64,Medium,Medium,2025-08-21 23:06:36
28,888083139654,552547205685,2364,1783,POS Purchase,Credit,USSD,108082.2,121483.54,229565.74,Failed,Chaudhary-Hayer,Travel,13.0827,80.2707,482.07,5,0,0,22.15,2,2,0.06,Low,Low,2025-05-12 05:11:32
